,dev_accuracy,dev_f1_avg,test_accuracy,test_f1_avg,dev_f1,test_f1,dev_precision,dev_recall,test_precision,test_recall
chimp_waveform_lstm,51.7±2.1,35.4±2.5,51.0±3.6,34.7±4.3,"['0.0±0.0', '68.3±1.9', '0.0±0.0', '0.0±0.0', '0.0±0.0']","['0.0±0.0', '67.7±3.3', '0.0±0.0', '0.0±0.0', '0.0±0.0']","['100.0±0.0', '51.8±2.2', '100.0±0.0', '100.0±0.0', '100.0±0.0']","['0.0±0.0', '100.0±0.0', '0.0±0.0', '0.0±0.0', '0.0±0.0']","['100.0±0.0', '51.2±3.8', '100.0±0.0', '100.0±0.0', '100.0±0.0']","['0.0±0.0', '100.0±0.0', '0.0±0.0', '0.0±0.0', '0.0±0.0']"
chimp_spectrogram_lstm,60.3±1.5,55.7±2.3,58.7±4.7,53.9±5.4,"['0.0±0.0', '69.9±0.8', '31.2±2.1', '64.7±1.8', '3.3±1.1']","['0.0±0.0', '68.8±4.3', '25.9±3.5', '61.7±7.6', '2.6±0.8']","['0.0±0.0', '61.2±1.7', '46.5±5.8', '64.8±5.9', '17.9±9.7']","['0.0±0.0', '81.5±1.4', '23.6±2.2', '64.9±2.8', '1.8±0.6']","['0.0±0.0', '59.1±5.3', '43.6±4.9', '64.7±9.5', '17.5±8.9']","['0.0±0.0', '82.3±2.7', '18.6±3.6', '59.0±6.0', '1.4±0.4']"
chimp_wav2vec2_lstm,81.0±4.0,79.9±4.6,79.3±2.3,77.9±3.6,"['24.7±16.1', '88.2±3.3', '72.2±5.9', '80.9±0.9', '53.5±15.0']","['41.2±19.5', '86.6±1.9', '64.0±5.9', '79.9±1.5', '52.8±29.0']","['37.0±15.2', '85.9±4.1', '76.2±6.6', '75.0±3.3', '77.0±0.9']","['39.7±42.1', '90.8±3.1', '68.7±5.5', '88.0±2.4', '42.8±17.5']","['47.7±26.0', '82.3±4.4', '72.1±4.3', '78.7±5.2', '68.5±6.7']","['68.9±46.8', '91.5±1.3', '58.7±11.5', '81.5±3.3', '48.6±32.1']"
chimp_wav2vec2_transformer,75.7±3.1,73.4±3.4,76.0±3.6,74.1±4.5,"['17.3±16.0', '83.2±3.4', '60.1±2.1', '79.8±2.2', '33.7±11.6']","['40.7±17.6', '83.7±2.7', '57.6±3.7', '79.8±3.8', '39.0±19.5']","['34.8±28.2', '76.5±2.6', '70.3±0.5', '78.0±6.2', '80.9±7.1']","['45.6±49.4', '91.2±4.6', '52.6±3.4', '81.9±2.4', '21.9±9.0']","['34.5±4.7', '76.8±4.3', '70.3±6.9', '79.6±8.1', '65.9±22.3']","['71.7±49.0', '91.9±2.0', '49.3±5.9', '80.2±0.6', '28.1±15.7']"
chimp_wav2vec2_lstm_batch_4,69.7±1.5,71.8±2.6,67.7±4.0,69.6±4.0,"['8.3±8.3', '77.7±1.8', '64.5±2.5', '79.4±1.5', '37.7±7.9']","['6.7±1.3', '74.0±6.6', '62.8±1.4', '78.8±4.5', '32.4±15.4']","['6.7±8.5', '90.0±1.9', '61.3±2.2', '75.2±8.8', '30.8±7.9']","['51.0±43.0', '68.4±2.0', '68.0±2.7', '85.4±7.3', '50.4±11.7']","['3.7±1.0', '89.1±5.7', '60.4±7.1', '75.6±11.5', '24.8±8.7']","['76.0±41.6', '64.3±12.0', '66.6±7.4', '83.5±4.4', '49.7±30.6']"
chimp_wav2vec2_lstm_batch_8,63.3±0.6,62.6±1.0,62.0±4.4,61.5±4.0,"['28.9±24.3', '70.8±1.7', '49.5±1.8', '71.4±1.8', '23.3±5.6']","['35.7±19.2', '68.5±4.2', '49.3±1.6', '70.6±6.6', '18.0±4.2']","['37.1±14.6', '75.1±2.6', '45.9±4.6', '63.5±3.2', '29.1±5.8']","['40.8±41.7', '66.9±2.2', '54.0±2.3', '81.7±0.9', '19.6±5.3']","['34.1±12.9', '75.2±6.0', '45.2±2.9', '62.7±8.5', '23.1±3.3']","['67.8±48.7', '63.2±5.7', '54.7±6.6', '81.2±5.2', '15.3±5.9']"
chimp_wav2vec2_lstm_dropout_0.2,80.7±3.5,80.0±4.4,78.0±1.7,76.8±2.7,"['28.3±19.6', '88.1±3.3', '71.7±5.2', '81.1±1.4', '55.2±12.6']","['44.7±29.4', '85.6±1.1', '62.4±6.2', '79.6±1.4', '51.6±28.4']","['35.3±8.6', '86.2±6.3', '73.6±4.9', '77.5±5.7', '77.9±1.9']","['39.7±42.1', '90.4±3.9', '70.9±11.9', '85.5±4.6', '43.7±14.2']","['54.8±32.3', '81.9±6.0', '68.6±9.8', '80.9±2.2', '64.0±12.7']","['68.9±46.8', '90.0±4.9', '60.3±16.0', '78.4±3.9', '47.9±31.7']"
chimp_wav2vec2_lstm_dropout_0.1,81.0±4.0,80.2±4.8,78.7±2.9,77.3±3.9,"['22.7±15.3', '88.5±3.4', '72.4±6.3', '80.8±1.5', '54.6±14.5']","['42.9±24.4', '85.9±2.1', '63.3±6.2', '79.5±1.5', '53.6±28.9']","['32.5±15.3', '85.9±5.1', '77.3±3.7', '75.4±4.0', '75.9±1.0']","['39.7±42.1', '91.3±3.0', '68.3±8.3', '87.2±2.3', '44.2±16.8']","['44.5±22.5', '81.5±5.9', '72.1±3.3', '78.9±1.1', '64.4±11.0']","['69.6±45.6', '91.2±2.6', '57.4±11.4', '80.0±2.0', '50.9±33.2']"
chimp_wav2vec2_lstm_bw,81.0±3.6,79.6±4.4,79.3±2.3,78.3±3.6,"['27.1±19.6', '88.5±2.7', '72.9±5.7', '80.0±1.3', '47.9±16.3']","['39.7±22.0', '86.5±1.9', '67.2±2.5', '79.5±2.9', '51.1±31.5']","['47.6±19.2', '87.7±4.1', '74.0±6.7', '72.0±3.1', '83.6±3.1']","['34.6±34.8', '89.5±1.5', '71.8±5.0', '90.2±1.8', '35.3±16.2']","['48.7±17.4', '84.3±5.1', '71.8±3.6', '75.3±7.8', '70.3±10.3']","['54.5±39.9', '89.1±1.8', '63.5±6.4', '84.9±3.8', '45.4±32.6']"
chimp_wav2vec2_lstm_ar,87.7±1.2,87.1±1.8,85.7±2.1,85.6±2.5,"['24.3±16.8', '92.4±0.7', '82.7±1.1', '87.2±1.5', '77.6±17.3']","['52.4±27.4', '90.8±1.6', '78.3±0.9', '85.9±2.1', '71.9±22.3']","['45.5±26.9', '90.5±1.2', '83.3±1.0', '84.7±4.4', '91.5±4.2']","['44.2±50.2', '94.4±1.1', '82.1±1.2', '90.2±5.7', '70.0±23.9']","['61.1±9.6', '90.6±5.7', '79.6±4.1', '83.0±5.3', '78.6±7.3']","['58.7±39.7', '91.2±3.7', '77.5±5.8', '89.1±1.8', '69.7±30.8']"
