ID,note,data,feature,"model",hyper-parameter," dev_accuracy"," dev_f1"," test_accuracy"," test_f1",test_f1_per_class
1.1,explore feature,chimp,waveform,"lstm","batch_size=1, dropout=0.4, lr=0.0001, balance_weights=true","21.0±1.7","27.5±0.8","18.7±0.6","25.5±1.6",
1.2,,chimp,spectrogram,"lstm",^,"33.0±1.7","34.5±0.4","35.0±1.7","37.7±2.6",
"1.3 ",★,chimp,wav2vec2,"lstm",^,"75.3±1.5","75.6±2.0","74.7±3.1","74.8±3.3",
2.1,explore model,chimp,wav2vec2,"transformer",^,"65.0±2.6","66.4±2.4","63.3±2.3","65.1±2.6",
3.1,explore hyper-parameter,chimp,wav2vec2,"lstm",^ + batch_size=4,"62.7±2.1","64.8±2.3","61.0±2.6","63.4±3.1",
3.2,,chimp,wav2vec2,"lstm",^ + batch_size=8,"55.0±4.6","57.8±4.6","54.0±2.6","56.2±3.3",
"3.3 ",★,chimp,wav2vec2,"lstm",^ + dropout=0.2,"76.3±1.5","75.8±2.0","75.0±2.6","75.2±3.3","[32.1, 82.1, 61.9, 80.1, 48.2]"
3.4,,chimp,wav2vec2,"lstm",^ + dropout=0.1,"76.0±1.7","75.8±2.0","75.0±2.6","75.1±3.6",
3.5,,chimp,wav2vec2,"lstm","^ + dropout=0.2, balance_weights=false","75.7±1.1","75.9±2.0","74.0±3.0","74.5±3.3","[21.5, 81.5, 61.2, 80.0, 47.7]"
4.1,explore more data set,greatarc long call,wav2vec2,"lstm","batch_size=1, dropout=0.2,  lr=0.0005, balance_weights=true","61.0±2.6","67.5±2.9","57.0±5.2","64.1±3.9",
4.2,binary (balanced),greatarc long call,wav2vec2,"lstm",^,"88.3±1.1","88.3±1.0","86.7±2.3","86.7±2.4",
5.1,explore auto-regressive,chimp,wav2vec2,"lstm+auto-regressive","batch_size=1, dropout=0.2,  lr=0.0001, balance_weights=true","83.7±2.3","83.4±2.4","79.3±4.7","80.0±4.9",
5.2,,greatarc long call,wav2vec2,"lstm+auto-regressive","batch_size=1, dropout=0.2,  lr=0.0005, balance_weights=true","70.0±1.2","76.0±0.9","68.3±4.9","75.1±2.8",
5.3,,greatarc long call,wav2vec2,"lstm+auto-regressive",^,"92.7±2.1","92.7±1.8","91.7±0.6","91.9±0.7",
